Company_ID,Company_Name,Sectors,Trading_Codes,Scrip_Codes,Websites,Urls
DSE-302-9702,Prime Insurance Company Ltd.,Insurance,PRIMEINSUR, 25732, http://www.primeislamilife.com,https://www.dsebd.org/displayCompany.php?name=PRIMELIFE
DSE-303-3271,Prime Islami Life Insurance Ltd.,Textile,PRIMELIFE, 17434, http://www.primegroup.com.bd,https://www.dsebd.org/displayCompany.php?name=PRIMETEX
DSE-304-6900,Prime Textile Spinning Mills Limited,Insurance,PRIMETEX, 25728, http://www.progressivelife.com.bd,https://www.dsebd.org/displayCompany.php?name=PROGRESLIF
DSE-305-6407,Progressive Life Insurance Co. Ltd.,Insurance,PROGRESLIF, 25743, http://provatiinsurance.com,https://www.dsebd.org/displayCompany.php?name=PROVATIINS
DSE-306-1199,Provati Insurance Company Limited,Textile,PROVATIINS, 17458, http://www.paramountgroupbd.com,https://www.dsebd.org/displayCompany.php?name=PTL
DSE-307-6145,Paramount Textile PLC.,Bank,PTL, 11106, http://www.pubalibangla.com,https://www.dsebd.org/displayCompany.php?name=PUBALIBANK
DSE-308-7337,Pubali Bank Ltd.,Insurance,PUBALIBANK, 25715, http://www.purabiinsurance.org,https://www.dsebd.org/displayCompany.php?name=PURABIGEN
DSE-309-8991,Purabi Gen. Insurance Company Ltd.,Engineering,PURABIGEN, 13214, http://www.quasemindustries.com,https://www.dsebd.org/displayCompany.php?name=QUASEMIND
DSE-310-2280,Quasem Industries Ltd.,Textile,QUASEMIND, 17476, http://www.qstmills.com,https://www.dsebd.org/displayCompany.php?name=QUEENSOUTH
DSE-311-7842,Queen South Textile Mills Limited,Food & Allied,QUEENSOUTH, 14281, http://www.rahimafood.com,https://www.dsebd.org/displayCompany.php?name=RAHIMAFOOD
DSE-312-5020,Rahima Food Corporation Limited,Textile,RAHIMAFOOD, 17410, http://www.rahimtextile.com,https://www.dsebd.org/displayCompany.php?name=RAHIMTEXT
DSE-313-7599,Rahim Textile Mills Ltd.,Ceramics Sector,RAHIMTEXT, 24634, http://www.rakceramics.com/bangladesh,https://www.dsebd.org/displayCompany.php?name=RAKCERAMIC
DSE-314-1299,RAK Ceramics (Bangladesh,Engineering,RAKCERAMIC, 13224, https://www.rangpurfoundry.com/,https://www.dsebd.org/displayCompany.php?name=RANFOUNDRY
DSE-315-2201,Rangpur Foundry Ltd.,Food & Allied,RANFOUNDRY, 14293, http://www.rdmilk.com,https://www.dsebd.org/displayCompany.php?name=RDFOOD
DSE-316-6294,Rangpur Dairy & Food Products Ltd.,Pharmaceuticals & Chemicals,RDFOOD, 18460, https://www.reckitt.com/about-us/reckitt-bangladesh/,https://www.dsebd.org/displayCompany.php?name=RECKITTBEN
DSE-317-9908,Reckitt Benckiser (Bangladesh,Textile,RECKITTBEN, 17470, http://www.regenttex.com,https://www.dsebd.org/displayCompany.php?name=REGENTTEX
DSE-318-6099,Regent Textile Mills Limited,Mutual Funds,REGENTTEX, 12187, http://www.aims-bangladesh.com,https://www.dsebd.org/displayCompany.php?name=RELIANCE1
DSE-319-1063,Reliance One the first scheme of Reliance Insurance Mutual Fund,Insurance,RELIANCE1, 25714, http://www.reliance.com.bd,https://www.dsebd.org/displayCompany.php?name=RELIANCINS
DSE-320-2984,Reliance Insurance Ltd.,Pharmaceuticals & Chemicals,RELIANCINS, 18457, http://www.renata-ltd.com,https://www.dsebd.org/displayCompany.php?name=RENATA
DSE-321-1666,Renata Ltd.,Engineering,RENATA, 13215, http://rjc.bsfic.gov.bd,https://www.dsebd.org/displayCompany.php?name=RENWICKJA
DSE-322-1849,Renwick Jajneswar & Co (Bd,Insurance,RENWICKJA, 25739, http://www.riclbd.com,https://www.dsebd.org/displayCompany.php?name=REPUBLIC
DSE-323-2849,Republic Insurance Company Limited,Textile,REPUBLIC, 17483, http://www.ringshine.com,https://www.dsebd.org/displayCompany.php?name=RINGSHINE
DSE-324-9834,Ring Shine Textiles Limited,Textile,RINGSHINE, 17450, http://www.rnspinningmills.com,https://www.dsebd.org/displayCompany.php?name=RNSPIN
DSE-325-1515,R.N. Spinning Mills Limited,Telecommunication,RNSPIN, 27003, http://www.robi.com.bd,https://www.dsebd.org/displayCompany.php?name=ROBI
DSE-326-3158,Robi Axiata Limited,Engineering,ROBI, 13235, http://www.rsrmbd.com,https://www.dsebd.org/displayCompany.php?name=RSRMSTEEL
DSE-327-1987,Ratanpur Steel Re-Rolling Mills Limited,Engineering,RSRMSTEEL, 13246, http://www.runnerbd.com,https://www.dsebd.org/displayCompany.php?name=RUNNERAUTO
DSE-328-4854,Runner Automobiles PLC,Bank,RUNNERAUTO, 11107, http://www.rupalibank.org,https://www.dsebd.org/displayCompany.php?name=RUPALIBANK
DSE-329-9812,Rupali Bank Ltd.,Insurance,RUPALIBANK, 25711, http://www.rupaliinsurance.com,https://www.dsebd.org/displayCompany.php?name=RUPALIINS
DSE-330-9192,Rupali Insurance Company Ltd.,Insurance,RUPALIINS, 25741, http://www.rupalilife.com,https://www.dsebd.org/displayCompany.php?name=RUPALILIFE
DSE-331-1589,Rupali Life Insurance Company Limited,Textile,RUPALILIFE, 17445, http://www.saiham-safko.com,https://www.dsebd.org/displayCompany.php?name=SAFKOSPINN
DSE-332-9755,Safko Spinnings Mills Ltd.,Services & Real Estate,SAFKOSPINN, 20625, http://www.saifpowertecltd.com,https://www.dsebd.org/displayCompany.php?name=SAIFPOWER
DSE-333-4264,SAIF Powertec Limited,Textile,SAIFPOWER, 17453, http://www.saihamcotton.com,https://www.dsebd.org/displayCompany.php?name=SAIHAMCOT
DSE-334-7177,Saiham Cotton Mills Limited,Textile,SAIHAMCOT, 17412, http://www.saihamtextile.com,https://www.dsebd.org/displayCompany.php?name=SAIHAMTEX
DSE-335-2598,Saiham Textile Mills Ltd.,Engineering,SAIHAMTEX, 13225, http://www.s.alamgroupbd.com,https://www.dsebd.org/displayCompany.php?name=SALAMCRST
DSE-336-8392,S. Alam Cold Rolled Steels Ltd.,Pharmaceuticals & Chemicals,SALAMCRST, 18484, http://www.salvochemical.com,https://www.dsebd.org/displayCompany.php?name=SALVOCHEM
DSE-337-7939,Salvo Chemical Industry Limited,Tannery Industries,SALVOCHEM, 23634, http://www.samataleather.com/,https://www.dsebd.org/displayCompany.php?name=SAMATALETH
DSE-338-1783,Samata Leather Complex Ltd.,Services & Real Estate,SAMATALETH, 20553, http://www.samoritahospital.org,https://www.dsebd.org/displayCompany.php?name=SAMORITA
DSE-339-1633,Samorita Hospital Limited,Insurance,SAMORITA, 25718, http://www.sandhanilife.com,https://www.dsebd.org/displayCompany.php?name=SANDHANINS
DSE-340-4708,Sandhani Life Insurance Company Ltd.,Services & Real Estate,SANDHANINS, 20622, http://www.saplbd.com,https://www.dsebd.org/displayCompany.php?name=SAPORTL
DSE-341-1420,Summit Alliance Port Limited,Miscellaneous,SAPORTL, 99611, http://savar-ref.com,https://www.dsebd.org/displayCompany.php?name=SAVAREFR
DSE-342-2172,Savar Refractories Limited,Bank,SAVAREFR, 11151, http://www.sbacbank.com,https://www.dsebd.org/displayCompany.php?name=SBACBANK
DSE-343-5366,South Bangla Agriculture & Commerce Bank Limited,Travel & Leisure,SBACBANK, 29004, https://seapearl.com.bd,https://www.dsebd.org/displayCompany.php?name=SEAPEARL
DSE-344-5859,Sea Pearl Beach Resort & Spa Limited,Mutual Funds,SEAPEARL, 12203, http://www.strategic-bd.com,https://www.dsebd.org/displayCompany.php?name=SEMLFBSLGF
DSE-345-4451,SEML FBLSL Growth Fund,Mutual Funds,SEMLFBSLGF, 12200, http://www.strategic-bd.com,https://www.dsebd.org/displayCompany.php?name=SEMLIBBLSF
DSE-346-8767,SEML IBBL Shariah Fund,Mutual Funds,SEMLIBBLSF, 12196, http://www.strategic-bd.com,https://www.dsebd.org/displayCompany.php?name=SEMLLECMF
DSE-347-5076,SEML Lecture Equity Management Fund,Bank,SEMLLECMF, 11139, http://www.sjiblbd.com,https://www.dsebd.org/displayCompany.php?name=SHAHJABANK
DSE-348-8767,Shahjalal Islami Bank Ltd.,Textile,SHAHJABANK, 17466, http://www.shashadenims.com,https://www.dsebd.org/displayCompany.php?name=SHASHADNIM
DSE-349-4530,Shasha Denims Limited,Textile,SHASHADNIM, 17474, http://www.shepherdbd.com,https://www.dsebd.org/displayCompany.php?name=SHEPHERD
DSE-350-4302,Shepherd Industries PLC,Engineering,SHEPHERD, 13234, http://www.shurwid.org,https://www.dsebd.org/displayCompany.php?name=SHURWID
DSE-351-4381,Shurwid Industries Limited,Food & Allied,SHURWID, 14279, http://shsm.bsfic.gov.bd,https://www.dsebd.org/displayCompany.php?name=SHYAMPSUG
DSE-352-2934,Shyampur Sugar Mills Ltd.,Bank,SHYAMPSUG, 11120, http://www.siblbd.com,https://www.dsebd.org/displayCompany.php?name=SIBL
DSE-353-2964,Social Islami Bank Limited,Pharmaceuticals & Chemicals,SIBL, 18495, http://www.silcopharma.com/,https://www.dsebd.org/displayCompany.php?name=SILCOPHL
DSE-354-9823,Silco Pharmaceuticals Limited,Pharmaceuticals & Chemicals,SILCOPHL, 18493, http://www.silvapharma.com,https://www.dsebd.org/displayCompany.php?name=SILVAPHL
DSE-355-2804,Silva Pharmaceuticals Limited,Textile,SILVAPHL, 17469, http://www.simtexgroup.com,https://www.dsebd.org/displayCompany.php?name=SIMTEX
DSE-356-1455,Simtex Industries Limited,Engineering,SIMTEX, 13211, http://www.singerbd.com,https://www.dsebd.org/displayCompany.php?name=SINGERBD
DSE-357-7084,Singer Bangladesh Limited,Miscellaneous,SINGERBD, 99635, http://www.sinobangla.com,https://www.dsebd.org/displayCompany.php?name=SINOBANGLA
DSE-358-4780,Sinobangla Industries Ltd.,Corporate Bond,SINOBANGLA, 26007, ,https://www.dsebd.org/displayCompany.php?name=SJIBLPBOND
DSE-359-1564,SJIBL Mudaraba Perpetual Bond,Insurance,SJIBLPBOND, 25752, http://www.senakalyanicl.com,https://www.dsebd.org/displayCompany.php?name=SKICL
DSE-360-9868,Sena Kalyan Insurance Company Limited,Miscellaneous,SKICL, 99642, http://www.sktrimsin.com,https://www.dsebd.org/displayCompany.php?name=SKTRIMS
DSE-361-2408,SK Trims & Industries Limited,Jute,SKTRIMS, 16360, http://www.sonaliaansh.com,https://www.dsebd.org/displayCompany.php?name=SONALIANSH
DSE-362-4465,Sonali Aansh Industries Limited,Insurance,SONALIANSH, 25751, http://www.sonalilife.com,https://www.dsebd.org/displayCompany.php?name=SONALILIFE
DSE-363-5893,Sonali Life Insurance Company Limited,Paper & Printing,SONALILIFE, 19503, http://spbmlbd.com,https://www.dsebd.org/displayCompany.php?name=SONALIPAPR
